10dacb	10-Deacetylbaccatin III
15m3opalmACP	15-methyl-3-oxo-hexa-decanoyl-ACP
15mpalmACP	15-methyl-hexa-decanoyl-ACP
15mtpalm2eACP	15-methyl-trans-hexa-dec-2-enoyl-ACP
15phytn	15-cis-Phytoene
16evsmn	16-Epivellosimine
16htabson	16-Hydroxytabersonine
16mo23dh3htsn	16-Methoxy-2,3-dihydro-3-hydroxytabersonine
16mtabson	16-Methoxytabersonine
17ahprgnlone	17alpha-hydroxypregnenolone
17ahprgstrn	17alpha-hydroxyprogesterone
17dmurt	1,7-Dimethyluric acid
17oajmln	17-O-Acetylajmaline
17oanrjmln	17-O-Acetylnorajmaline
18harachd	18 hydroxy arachidonic acid
1a2425thvitd2	1-alpha,24R,25-Trihydroxyvitamin D2
1a2425thvitd3	calcitetrol
1a25dhvitd2	1-alpha,25-Dihydroxyvitamin D2
1a25dhvitd3	calcitriol
1agpe120	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)
1agpe140	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)
1agpe141	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)
1agpe160	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
1agpe161	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)
1agpe180	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)
1agpe181	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)
1agpg120	1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)
1agpg140	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)
1agpg141	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)
1agpg160	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)
1agpg161	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)
1agpg180	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)
1agpg181	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)
1aihpdecg3p	1-anteisoheptadecanoyl-sn-glycerol 3-phosphate (14-methyl-hexadecanoyl, anteiso-C17)
1aipdecg3p	1-anteisopentadecanoyl-sn-glycerol 3-phosphate (12-methyl-tetradecanoyl, anteiso-C15)
1asng	1-Alkyl-sn-glycerol
1c24dnb	1-chloro-2,4-dinitrobenzene
1ddecg3p	1-acyl-sn-glycerol 3-phosphate(2-)
1fagalr	1F-alpha-D-Galactosylraffinose
1fbfrctsylsucr	1F-beta-D-Fructosylsucrose
1fchhdl	1-Fluorocyclohexadiene-cis,cis-1,2-diol
1glyc_hs	1 acyl phosphoglycerol
1h2npt	1-Hydroxy-2-naphthoate
1hchxn1ylaccoa	(1-Hydroxycyclohexan-1-yl)acetyl-CoA
1hdec9eg3p	1-hexadec-9-enoyl-sn-glycerol 3-phosphate
1hdecg3p	1-hexadecanoyl-sn-glycerol 3-phosphate
1hgcrtn	1-Hydroxy-gamma-carotene
1hibup_S	1-hydroxy S-ibuprofen
1hibupglu_S	1-hydroxy S-ibuprofen-glucuronide
1hmdgluc	1-OH-midazolam-glucuronide
1hmnp	1-Hydroxymethylnaphthalene
1hnpaldh	1-Hydroxy-2-naphthaldehyde
1holmn	(1S,4R)-1-Hydroxy-2-oxolimonene
1ihdecg3p	1-isohexadecanoyl-sn-glycerol 3-phosphate (14-methyl-pentadecanoyl, iso-C16)
1ihpdecg3p	1-isoheptadecanoyl-sn-glycerol 3-phosphate (15-methyl-hexadecanoyl, iso-C17)
1ipdecg3p	1-isopentadecanoyl-sn-glycerol 3-phosphate (13-methyl-tetradecanoyl, iso-C15)
1itdecg3p	1-isotetradecanoyl-sn-glycerol 3-phosphate (12-methyl-tridecanoyl, iso-C14)
1m4phthpyro	1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine N-oxide
1mncam	1-methylnicotinamide
1mpyr	1-methylpyrrolinium
1murt	1-Methyluric acid
1mxnthn	1-Methylxanthine
1naldh	1-Naphthaldehyde
1odec11eg3p	1-octadec-11-enoyl-sn-glycerol 3-phosphate
1odecg3p	1-octadecanoyl-sn-glycerol 3-phosphate
1oh	Primary alcohol
1ohmdz	1-OH-midazolam
1ometmistl	1-O-Methyl-myo-inositol
1p2cbxl	1-pyrroline-2-carboxylate
1p3h5c	L-1-Pyrroline-3-hydroxy-5-carboxylate
1p4h2cbxl	1-Pyrroline-4-hydroxy-2-carboxylate
1padglcnt	1-Phospho-alpha-D-glucuronate
1pdmi45bp	1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate
1pipdn2c	1-piperideine-2-carboxylate
1pyr5c	1-Pyrroline-5-carboxylate
1tdec7eg3p	1-tetradec-7-enoyl-sn-glycerol 3-phosphate
1tdecg3p	1-tetradecanoyl-sn-glycerol 3-phosphate
20ahchsterol	20-hydroxycholesterol
21hprgnlone	21-Hydroxypregnenolone
23boggnglyc1p	2,3-Bis-O-(geranylgeranyl)glycerol 1-phosphate
23camp	2,3-Cyclic AMP
23ccmp	2,3-Cyclic CMP
23cgmp	2,3-Cyclic GMP
23cump	2,3-cyclic UMP(1-)
23d23d4cbiphe	cis-2,3-Dihydro-2,3-dihydroxy-4-chlorobiphenyl
23d23dbiphe	cis-2,3-Dihydro-2,3-dihydroxybiphenyl
23d23dpcmt	cis-2,3-Dihydroxy-2,3-dihydro-p-cumate
23damnppn	L-2,3-Diaminopropanoate
23dappa	2,3-diaminopropionate
23ddhb	2,3-Dihydro-2,3-dihydroxybenzoate
23dh1i56dio	2,3-Dihydro-1H-Indole-5,6-Dione
23dh4cbiphe	2,3-Dihydroxy-4-chlorobiphenyl
23dhb	2,3-Dihydroxybenzoate
23dhba	(2,3-Dihydroxybenzoyl)adenylate
23dhbzs	2,3-dihydroxybenzoylserine
23dhbzs2	2-3-dihydroxybenzoylserine dimer
23dhbzs3	2-3-dihydroxybenzoylserine trimer
23dhdp	2,3-Dihydrodipicolinate
23dhgosptn	2,3-Dihydrogossypetin
23dhmb	(R)-2,3-Dihydroxy-3-methylbutanoate
23dhmp	(R)-2,3-Dihydroxy-3-methylpentanoate
23dm5pqnl	2,3-Dimethyl-5-phytylquinol
23dmthmlet	2,3-Dimethylmaleate
23dmthmlt	2,3-Dimethylmalate
23doguln	(4R,5S)-4,5,6-trihydroxy-2,3-dioxohexanoate
23dpg	2,3-bisphosphonato-D-glycerate(5-)
23esucc	trans-2,3-Epoxysuccinate
2425dhvitd2	24R,25-Dihyoxyvitamin D2
2425dhvitd3	(24R)-24,25-dihydroxycalciol
24dchlphe	2,4-Dichlorophenol
24dhacphn	2,4-Dihydroxyacetophenone
24dhhed	2,4-Dihydroxyhept-2-enedioate
24dmpntn	2,4-Diaminopentanoate
24dnpsg	2,4-dinitrophenyl-S-glutathione
24k3DoFcnt	2,4-Diketo-3-deoxy-L-fuconate
24mcartnl	24-Methylenecycloartanol
24nph	2-hydroxy-4-nitrophenolate
24pentdcoa	2,4-Pentadienoyl-CoA
256th56dhqln	2,5,6-Trihydroxy-5,6-dihydroquinoline
25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
25d5o2a	Muconolactone
25dahxnt	2,5-Diaminohexanoate
25daphoa4opm	2,5-Diamino-6-(5-triphosphoryl-3,4-trihydroxy-2-oxopentyl)- amino-4-oxopyrimidine
25dcmucnt	2,5-Dichloro-cis,cis-muconate
25dhb	2,5-dihydroxybenzoate
25dhpp	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine
25dhpyr	2,5-Dihydroxypyridine
25dkglcn	2,5-diketo-D-gluconate
25dop	2,5-Dioxopentanoate
25dpiprzn	2,5-Dioxopiperazine
25drapp	2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5-phosphate
25hvitd2	25-Hydroxyvitamin D2
25hvitd3	calcidiol
26dap_LL	LL-2,6-Diaminoheptanedioate
26dap_M	meso-2,6-Diaminoheptanedioate
26dhcychex1cbxlcoa	2,6-Dihydroxycyclohexane-1-carboxyl-CoA
26dhponctn	2,6-Dihydroxypseudooxynicotine
26dhpy	2,6-Dihydroxypyridine
26do6ph3e	2,6-Dioxo-6-phenylhexa-3-enoate
26do6phexnt	2,6-Dioxo-6-phenylhexanoate
27mthmlt	2-(7-Methylthio)heptylmalate
2a2mmnt	2-Aryl-2-methylmalonate
2a4opntn	2-Amino-4-oxopentanoate
2a5faprap	2-Amino-5-formylamino-6-(5-phosphoribosylamino)pyrimidin-4(3H)-one
2a5ohexnt	2-Amino-5-oxohexanoate
2aasng3p	2-Acetyl-1-alkyl-sn-glycero-3-phosphate
2abut2en	2-Aminobut-2-enoate
2ac1asngpc	2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine
2acamsucc	2-(Acetamidomethylene)succinate
2admasl3pg	2-(alpha-D-Mannosyl)-3-phosphoglycerate
2aeppn	2-Aminoethylphosphonate
2agpe120	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)
2agpe140	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)
2agpe141	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)
2agpe160	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
2agpe161	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)
2agpe180	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)
2agpe181	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)
2agpg120	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)
2agpg140	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)
2agpg141	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)
2agpg160	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)
2agpg161	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)
2agpg180	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)
2agpg181	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)
2ahbut	(S)-2-Aceto-2-hydroxybutanoate
2ahhmd	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate
2ahhmp	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine
2amac	2-aminoacrylic acid
2ameph	(2-Aminoethyl)phosphonate
2amnb4old	2-Aminobutan-4-olide
2amsa	2-Aminomalonate semialdehyde
2aobut	L-2-amino-3-oxobutanoic acid
2aphenl	2-Aminophenol
2appnt	2-Arylpropionate
2beacp	But_2_enoyl_acyl_carrier_protein
2butnt	2-Butenoate
2c23dh56dhoxin	2-Carboxy-2,3-dihydro-5,6-dihydroxyindole
2c25dh5of2a	2-Chloro-2,5-dihydro-5-oxofuran-2-acetate
2c25dho	2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate
2c4mthzep	2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate
2chatzn	2-Chloro-4-hydroxy-6-amino-1,3,5-triazine
2chdeacp	cis_Hexadec_2_enoyl_acyl_carrier_protein
2cmcnt	2-Chloro-cis,cis-muconate
2cocdacp	cis_Octadec_2_enoyl_acyl_carrier_protein
2coum	cis-2-coumarate
2cpr5p	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
2ctdeacp	cis_Tetradec_2_enoyl_acyl_carrier_protein
2d3dxylt	2-Dehydro-3-deoxy-D-xylonate
2d3ksciam	2-Deoxy-3-keto-scyllo-inosamine
2dda7p	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
2ddecdicoa	2,6-dodecadienoylcoa
2ddecg3p	2-dodecanoyl-sn-glycerol 3-phosphate
2ddg6p	2-Dehydro-3-deoxy-D-gluconate 6-phosphate
2ddglcn	2-Dehydro-3-deoxy-D-gluconate
2ddpent	2-Dehydro-3-deoxy-L-pentonate
2decdicoa	2,7-decadienoylcoa
2dg	2-deoxy-D-glucose
2dg6p	2-deoxy-D-glucose 6-phosphate
2dglcn	2-Deoxy-D-gluconate
2dh2dofnt	2-Dehydro-3-deoxy-D-fuconate
2dh3dgal	2-Dehydro-3-deoxy-D-galactonate
2dh3dgal6p	2-Dehydro-3-deoxy-D-galactonate 6-phosphate
2dh3dglc	2-Dehydro-3-deoxy-D-glucarate
2Dh3DoFcnt	2-Dehydro-3-deoxy-L-fuconate
2dhglcn	2-Dehydro-D-gluconate
2dhguln	2-Dehydro-L-gulonate
2dhp	2-Dehydropantoate
2dhphaccoa	1,2-Dihydroxy-1,2-dihydrophenylacetyl-CoA
2dmmq10	2-Demethylmenaquinone 10
2dmmq11	2-Demethylmenaquinone 11
2dmmq6	2-Demethylmenaquinone 6
2dmmq7	2-Demethylmenaquinone 7
2dmmq8	2-Demethylmenaquinone 8
2dmmq9	2-Demethylmenaquinone 9
2dmmql10	2-Demethylmenaquinol 10
2dmmql11	2-Demethylmenaquinol 11
2dmmql7	2-Demethylmenaquinol 7
2dmmql8	2-Demethylmenaquinol 8
2dmmql9	2-Demethylmenaquinol 9
2do5hmc5dp	2-Deoxy-5-hydroxymethylcytidine-5-diphosphate
2do5hmc5p	2-Deoxy-5-hydroxymethylcytidine 5-phosphate
2do5hmc5tp	2-Deoxy-5-hydroxymethylcytidine-5-triphosphate
2docohexecoa	2,7,10,13,16,19-docosahexenoylcoa
2docopencoa	2,7,10,13,16-docosapentenoylcoa
2dodtricoa	2,6,9-dodecatrienoylcoa
2doglu	2-deoxygluconate
2dosamn	2-Deoxystreptamine antibiotic
2doxg6p	2-Deoxy-D-glucose 6-phosphate
2dp6mep	2-Decaprenyl-6-methoxyphenol
2dp6mobq	2-decaprenyl-6-methoxy-1,4-benzoquinone
2dp6mobq_me	2-decaprenyl-6-methoxy-3-methyl-1,4-benzoquinone
2dpmhobq	2-decaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone
2dr1p	2-Deoxy-D-ribose 1-phosphate
2dr5p	2-deoxy-D-ribose 5-phosphate(2-)
2dsciam	2-Deoxy-scyllo-inosamine
2fbnzt	2-Fluorobenzoate
2fch1c	2-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate
2fmcnt	2-Fluoro-cis,cis-muconate
2fuclac	2-Fucosyllactose (HMO, PMID:11425797)
2h3cbenzalpyr	2-Hydroxy-3-carboxybenzalpyruvate
2h3mb	2_hydroxy_3_methyl_butanoate
2h3mbenzalpyr	2-Hydroxy-3-methylbenzalpyruvate
2h3mp	2_hydroxy_3_methyl_pentanoate
2h3mv	2-Hydroxy-3-Methyl-Valerate
2h3oapt	2-Hydroxy-3-oxoadipate
2h3oppan	2-Hydroxy-3-oxopropanoate
2h4hmbenzalpyr	2-Hydroxy-4-hydroxymethylbenzalpyruvate
2h4iphex1cbxlcoa	2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA
2h5cmmusa	2-Hydroxy-5-carboxymethylmuconate-Semialdehyde
2h5mmsaldh	2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde
2h6oh24dnt	2-Hydroxy-6-oxo-hept-2,4-dienoate
2hatvacid	2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid
2hatvacidgluc	2-hydroxy-atorvastatin-acyl-glucuronide
2hatvlac	2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone
2hatvlacgluc	2-hydroxy-atorvastatin-lactone-glucuronide
2hb	2-Hydroxybutyrate
2hbiphe	2-Hydroxybiphenyl
2hbnzlfrmt	4-Hydroxybenzoylformate
2hc	2-Hydroxy carboxylate
2hchd	2-Hydroxy-cis-hex-2,4-dienoate
2hcomd	2-Hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate
2hcych1cbxlcoa	(2-Hydroxycyclohexane-1-carboxyl-CoA
2hdec9eg3p	2-hexadec-9-enoyl-sn-glycerol 3-phosphate
2hdecg3p	2-hexadecanoyl-sn-glycerol 3-phosphate
2hdhdzn	2-Hydroxydihydrodaidzein
2hdhgstn	2-Hydroxy-2,3-dihydrogenistein
2hdzn	2-Hydroxydaidzein
2hexdtetcoa	2,7,10,13-hexadecatetraenoylcoa
2hexdtricoa	2,7,10-hexadecatrienoylcoa
2hh24dd	2-Hydroxyhepta-2-4-dienedioate
2hhmbaldh	2-Hydroxy-4-hydroxymethyl-benzaldehyde
2hibup_R	2-hydroxy-R-ibuprofen
2hibup_S	2-hydroxy-S-ibuprofen
2hibupglu_S	2-hydroxy S-ibuprofen-glucuronide
2hiv	2-Hydroxy-Isovalerate
2hm3amlsucc	2-(Hydroxymethyl)-3-(acetamidomethylene)succinate
2hmc	2-Hydroxymuconate
2hmnp	2-Hydroxymethylnaphthalene
2hmsa	2-Hydroxymuconate semialdehyde
2hoaphd	2-Hydroxy-6-oxo-(2-aminophenyl)-hexa-2,4-dienoate
2hobtc	2-Hydroxy-4-oxobutane-1,2,4-tricarboxylate
2hohdnt	2-Hydroxy-6-oxo-6-(2-carboxyphenyl)-hexa-2,4-dienoate
2homd	2-Hydroxy-6-oxo-7-methylocta-2,4-dienoate
2hood	2-Hydroxy-6-oxo-octa-2,4-dienoate
2hotnt	2-Hydroxy-6-oxoocta-2,4,7-trienoate
2hp3m6m14bqn	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
2hp6hphe	2-Hexaprenyl-6-hydroxyphenol
2hp6m14bqn	2-Hexaprenyl-6-methoxy-1,4-benzoquinone
2hp6mphe	2-Hexaprenyl-6-methoxyphenol
2hxic_L	2-Hydroxy-Isocaproate
2hxmp	2__Hydroxymethyl_phenol
2hydog	2-hydroxyglutarate
2hydogcoa	2-hydroxyglutaryl-CoA
2hymeph	2-(Hydroxymethyl)phenol
2hyoxplac	2-Hydroxyphenylacetate
2ins	2-Inosose
2ippcoa	3-Isopropenylpimelyl-CoA
2ippm	2-Isopropylmaleate
2kmb	2-keto-4-methylthiobutyrate
2m1hbtpp	2-Methyl-1-hydroxybutyl-TPP
2m1hptpp	2-Methyl-1-hydroxypropyl-TPP
2m3hbu	2-Methyl-3-Hydroxy-Butyrate
2m3hppa	2-methyl-3-hydroxypropionic acid
2m3hvac	2-Methyl-3-Hydroxy-Valerate
2m3ovac	2-Methyl-3-Oxo-Valerate
2m3ovcoa	2-Methyl-3-Oxo-Valeryl Coenzyme A
2m6pqnl	2-Methyl-6-phytylquinol
2maacoa	2-methylacetoacetyl-CoA(4-)
2mahmp	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate
2mb_p	2_methylbutanoyl_p
2mb2coa	2-methylcrotonoyl-CoA(4-)
2mba	2_methyl_butanoic_acid
2mbal	2_Methylbutanal
2mbald	2-methylbutyraldehyde
2mbaldh	2-Methylbenzaldehyde
2mbcoa	2-methylbutanoyl-CoA(4-)
2mbnzt	2-Methylbenzoic acid
2mboh	2-Methylbenzyl alcohol
2mbol	2_methylbutanol
2mbut	2-methylbutyrate
2mbutACP	2-methylbutanoyl-ACP,2-methylbutyryl-ACP
2mcacn	(Z)-but-2-ene-1,2,3-tricarboxylate
2mchln	2-Methylcholine
2mcit	2-methylcitrate(3-)
2me4p	2-C-methyl-D-erythritol 4-phosphate
2mecdp	2-C-methyl-D-erythritol 2,4-cyclodiphosphate
2mhphdbnt	4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate
2miphd	cis-2-Methyl-5-isopropylhexa-2,5-dienal
2miphdnt	cis-2-Methyl-5-isopropylhexa-2,5-dienoic acid
2mmal	(R)-2-Methylmalate
2mmale	2-Methylmaleate
2mnptl	2-Methylnaphthalene
2mop	2-methyl-3-oxopropanoate
2mp2coa	2-Methylprop-2-enoyl-CoA
2mpa	2_methylpropanoic_acid
2mpal	2_methylpropanal
2mpdhl	S-(2-Methylpropanoyl)-dihydrolipoamide
2mpol	2_methylpropanol
2mpropACP	2-methylpropionyl-ACP,isobutyryl-ACP
2mproph	2-Methylpropanoyl phosphate
2naldh	2-Naphthaldehyde
2npthcoa	2-Naphthoyl-CoA
2o3mpt	R__2_Oxo_3_methylpentanoate
2o7mthnt	2-Oxo-7-methylthioheptanoic acid
2oaldh	2-Oxoaldehyde
2obut	2-Oxobutanoate
2oc	2-Oxocarboxylate
2octdectecoa	2,6,9,12-octadecatetraenoylcoa
2octpencoa	2,6,9,12,15-octadecapentenoylcoa
2odec11eg3p	2-octadec-11-enoyl-sn-glycerol 3-phosphate
2odecg3p	2-octadecanoyl-sn-glycerol 3-phosphate
2oh	Secondary alcohol
2oh_cbz	2-Hydroxycarbamazepine
2oh_cbz_glc	2-Hydroxy Carbamazepine Glucuronide
2oh_mtz	2-Hydroxymetronidazole
2oh_mtz_glc	2-Hydroxymetronidazole Glucuronide
2oh3d	2-Oxohept-3-ene-1,7-dioate
2ohed	2-Oxohept-3-ene-1,7-dioate
2ohph	2-Octaprenyl-6-hydroxyphenol
2ombz	2-Octaprenyl-6-methoxy-1,4-benzoquinone
2ombzl	2-Octaprenyl-6-methoxy-1,4-benzoquinol
2omfuc	2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omhmbl	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol
2ommb	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
2ommbl	2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol
2omph	2-Octaprenyl-6-methoxyphenol
2omthpnt	2-Oxo-5-methylthiopentanoic acid
2omxyl	2-O-methylxylose (rare sugar in rhamnogalacturonan II)
2oph	2-Octaprenylphenol
2oscnmt	2-Oxosuccinamate
2oxht4en	2-Oxohex-trans-4-enoate
2oxoadp	2-oxoadipate(2-)
